Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
846, 820, 27, 42, 64
846, 831, 16, 61, 40
846, 835, 12, 61, 51
847, 846, 2, 39, 38
847, 833, 15, 39, 59
850, 842, 9, 16, 39
850, 850, 1, 16, 16
854, 853, 2, 10, 45
854, 854, 1, 10, 10
854, 848, 7, 63, 47
854, 851, 4, 63, 83
855, 852, 4, 44, 23
855, 855, 1, 44, 44
855, 827, 29, 45, 8
855, 836, 20, 45, 9
857, 849, 9, 7, 74
857, 857, 1, 7, 7
863, 860, 4, 29, 34
863, 847, 17, 29, 87
864, 841, 24, 3, 22
864, 856, 9, 3, 23
864, 863, 2, 3, 40
868, 866, 3, 29, 44
868, 864, 5, 29, 49
869, 862, 8, 48, 73
869, 858, 12, 48, 76
871, 861, 11, 21, 17
871, 865, 7, 21, 44
876, 869, 8, 39, 41
876, 876, 1, 39, 39
877, 874, 4, 62, 67
877, 875, 3, 62, 84
880, 872, 9, 5, 8
880, 879, 2, 5, 34
881, 880, 2, 29, 35
881, 878, 4, 29, 87
882, 870, 13, 73, 8
882, 881, 2, 73, 31
884, 871, 14, 44, 8
884, 868, 17, 44, 11
886, 873, 14, 29, 23
886, 867, 20, 29, 61
889, 886, 4, 43, 39
889, 889, 1, 43, 43
890, 859, 32, 8, 27
890, 887, 4, 8, 63
890, 882, 9, 15, 17
890, 885, 6, 15, 70
892, 890, 3, 46, 42
892, 892, 1, 46, 46
892, 888, 5, 57, 7
892, 883, 10, 57, 39
899, 898, 2, 42, 8
899, 877, 23, 42, 35
902, 899, 4, 26, 47
902, 897, 6, 26, 50
902, 895, 8, 42, 56
902, 891, 12, 42, 59
903, 894, 10, 9, 48
903, 896, 8, 9, 63
904, 893, 12, 9, 41
904, 903, 2, 9, 71
906, 905, 2, 50, 43
906, 900, 7, 50, 73
909, 884, 26, 29, 21
909, 906, 4, 29, 25
909, 908, 2, 73, 56
909, 907, 3, 73, 58
914, 904, 11, 37, 65
914, 914, 1, 37, 37
915, 909, 7, 59, 48
915, 901, 15, 59, 56
916, 913, 4, 15, 24
916, 902, 15, 15, 36
919, 916, 4, 21, 31
919, 918, 2, 21, 49
922, 921, 2, 15, 26
922, 911, 12, 15, 66
924, 923, 2, 37, 7
924, 922, 3, 37, 49
924, 910, 15, 37, 74
929, 920, 10, 21, 54
929, 925, 5, 21, 69
929, 917, 13, 76, 73
929, 929, 1, 76, 76
930, 915, 16, 21, 22
930, 919, 12, 21, 34
937, 936, 2, 0, 7
937, 932, 6, 0, 33
937, 927, 11, 59, 11
937, 935, 3, 59, 29
937, 930, 8, 59, 87
938, 934, 5, 21, 44
938, 933, 6, 21, 49
939, 912, 28, 32, 60
939, 938, 2, 32, 73
943, 937, 7, 81, 19
943, 942, 2, 81, 74
944, 943, 2, 7, 0
944, 940, 5, 7, 16
944, 941, 4, 48, 32
944, 924, 21, 48, 44
944, 928, 17, 48, 61
946, 944, 3, 73, 39
946, 945, 2, 73, 74
949, 926, 24, 8, 16
949, 946, 4, 8, 66
950, 939, 12, 59, 64
950, 931, 20, 59, 72
957, 955, 3, 10, 7
957, 947, 11, 10, 64
957, 953, 5, 81, 69
957, 949, 9, 81, 80
960, 948, 13, 44, 30
960, 956, 5, 44, 81
962, 960, 3, 15, 45
962, 959, 4, 15, 52
964, 962, 3, 36, 39
964, 952, 13, 36, 45
964, 961, 4, 47, 5
964, 958, 7, 47, 59
965, 951, 15, 38, 7
965, 957, 9, 38, 39
965, 963, 3, 38, 48
970, 964, 7, 15, 0
970, 950, 21, 15, 39
970, 967, 4, 60, 80
970, 954, 17, 60, 83
976, 975, 2, 44, 40
976, 973, 4, 44, 72
977, 976, 2, 18, 9
977, 971, 7, 18, 50
979, 977, 3, 37, 7
979, 974, 6, 37, 50
980, 968, 13, 9, 49
980, 979, 2, 9, 85
986, 978, 9, 50, 40
986, 982, 5, 50, 61
989, 981, 9, 29, 49
989, 980, 10, 29, 58
990, 972, 19, 10, 45
990, 990, 1, 10, 10
991, 988, 4, 16, 6
991, 983, 9, 16, 21
991, 987, 5, 61, 66
991, 966, 26, 61, 89
992, 989, 4, 13, 60
992, 992, 1, 13, 13
992, 986, 7, 65, 29
992, 991, 2, 65, 64
992, 970, 23, 81, 18
